EventID,Start Date,End Date,Peak Flood Level (m),Peak FL Date,Num Peak FL,Peak Discharge Q (cumec),Peak Discharge Date,Flood Volume (cumec),Event Duration (days),Time to Peak (days),Recession Time (day),Flood Type,GaugeID,Warning Level,Danger Level,Station,Latitude,Longitude,River Name/ Tributory/ SubTributory,Basin,State,Start_date,End_date,Level_Entries,Streamflow_Entries,Privacy,Source Catchment Area,Catchment Area,Area variation (%),Reliability,District
INDOFLOODS-gauge-562-1,1978-06-18,1978-06-18,246.34,1978-06-18,1,1320.0,1978-06-18,1320.0,1,1,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-2,1978-07-26,1978-07-26,247.84,1978-07-26,1,1600.0,1978-07-26,1600.0,1,1,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-3,1978-08-26,1978-08-27,247.56,1978-08-27,1,1552.0,1978-08-27,2628.0,2,2,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-4,1978-08-29,1978-08-31,250.33,1978-08-30,1,2105.2,1978-08-30,4636.1,3,2,2,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-5,1979-07-10,1979-07-10,245.34,1979-07-10,1,920.0,1979-07-10,920.0,1,1,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-6,1979-08-03,1979-08-03,247.49,1979-08-03,1,1248.0,1979-08-03,1248.0,1,1,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-7,1979-08-05,1979-08-05,249.67,1979-08-05,1,1546.0,1979-08-05,1546.0,1,1,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-8,1979-08-10,1979-08-11,252.1,1979-08-10,1,1872.0,1979-08-10,3334.0,2,1,2,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-9,1981-08-06,1981-08-06,248.73,1981-08-06,1,1645.8,1981-08-06,1645.8,1,1,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-10,1981-08-10,1981-08-10,249.68,1981-08-10,1,2880.7,1981-08-10,2880.7,1,1,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-11,1981-09-28,1981-09-29,246.09,1981-09-28,1,946.1,1981-09-28,1698.9,2,1,2,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-12,1983-08-12,1983-08-12,248.97,1983-08-12,1,1630.0,1983-08-12,1630.0,1,1,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-13,1984-08-19,1984-08-19,245.31,1984-08-19,1,712.0,1984-08-19,712.0,1,1,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-14,1986-08-15,1986-08-15,247.59,1986-08-15,1,2191.5,1986-08-15,2191.5,1,1,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-15,1988-07-19,1988-07-20,248.8,1988-07-19,1,2194.0,1988-07-19,3936.0,2,1,2,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-16,1988-07-22,1988-07-23,248.2,1988-07-23,1,1750.0,1988-07-23,3180.0,2,2,1,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
INDOFLOODS-gauge-562-17,1988-08-21,1988-08-23,250.24,1988-08-22,1,2571.0,1988-08-21,6201.0,3,2,2,Flood,INDOFLOODS-gauge-562,245.0,,Purna at gopalkheda,20.8742,76.9897,Tapi/Purna,Tapi,Maharashtra,1977-06-01,2020-05-27,12692,12451,Open,9500.0,8086.739745999999,14.87642373,Safe,Goplkhed
